scope,group,entry_delay_m,exit_delay_m,n,wins,losses,mean_pct,median_pct,win_rate_pct,min_pct,max_pct,sum_pct
all_years,all,3,3,29,26,3,0.5994775017269782,0.5170630816959676,89.65517241379311,-1.1955593509820672,1.7810650887573942,17.38484755008237
all_years,buy_sidecar,3,3,15,15,0,0.8711835115403128,0.8852532496638199,100.0,0.05967905928119244,1.7810650887573942,13.067752673104692
all_years,sell_sidecar,3,3,14,11,3,0.3083639197841199,0.38756636827901314,78.57142857142857,-1.1955593509820672,1.1191941801902638,4.317094876977679
2025,all,3,3,3,3,0,0.3735250796351804,0.3745318352059934,100.0,0.2289803220035802,0.5170630816959676,1.1205752389055412
2025,buy_sidecar,3,3,1,1,0,0.2289803220035802,0.2289803220035802,100.0,0.2289803220035802,0.2289803220035802,0.2289803220035802
2025,sell_sidecar,3,3,2,2,0,0.4457974584509805,0.4457974584509805,100.0,0.3745318352059934,0.5170630816959676,0.891594916901961
2026,all,3,3,26,23,3,0.6255489350452627,0.5563186813186793,88.46153846153845,-1.1955593509820672,1.7810650887573942,16.26427231117683
2026,buy_sidecar,3,3,14,14,0,0.9170551679357938,0.9369327191880661,100.0,0.05967905928119244,1.7810650887573942,12.838772351101113
2026,sell_sidecar,3,3,12,9,3,0.28545833000630977,0.3857145421469643,75.0,-1.1955593509820672,1.1191941801902638,3.4254999600757174
