date,target_fut_1530_1545_bps,target_fut_1530_1535_bps,target_fut_1535_1545_bps,stock_day_to_1530_bps,etf_day_to_1530_bps,fut_day_to_1530_bps,stock_1525_1530_bps,etf_1525_1530_bps,fut_1525_1530_bps,fut_volume_1525_1530,fut_signed_volume_pressure_1525_1530,fut_close_volume_prior_median,fut_close_volume_is_heavy,etf_excess_vs_2x_stock_day_bps,etf_excess_vs_2x_stock_close5_bps,fut_vs_stock_day_bps,prev_institutional_net_buy_qty_ex_spread,prev_foreign_net_buy_qty_ex_spread,prev_individual_net_buy_qty_ex_spread,prev_securities_net_buy_qty_ex_spread,prev_investment_trust_net_buy_qty_ex_spread,prev_insurance_net_buy_qty_ex_spread,prev_pension_fund_net_buy_qty_ex_spread,prev_other_corporation_net_buy_qty_ex_spread,same_day_institutional_net_buy_qty_ex_spread,same_day_foreign_net_buy_qty_ex_spread,same_day_individual_net_buy_qty_ex_spread,same_day_securities_net_buy_qty_ex_spread,same_day_investment_trust_net_buy_qty_ex_spread,same_day_insurance_net_buy_qty_ex_spread,same_day_pension_fund_net_buy_qty_ex_spread,same_day_other_corporation_net_buy_qty_ex_spread
2026-05-27,-13.274336283185528,-53.09734513274322,40.03558718861156,930.7992202729043,1844.349680170576,0.0,0.0,34.32080924855585,71.30124777183555,23793.0,23793.0,,False,-17.248760375232678,34.32080924855585,-930.7992202729043,-33580,23918,9916,-75641,41757,23,281,-254,7500,546,-7713,-83130,90153,576,-99,-333
2026-05-28,52.08333333333259,95.4861111111116,-42.99226139294898,475.9725400457659,994.307400379506,294.90616621983935,4.370629370629153,-8.622176237281787,74.33318758198526,29899.0,29899.0,,False,42.36232028797417,-17.36343497854009,-181.06637382592658,7500,546,-7713,-83130,90153,576,-99,-333,20718,-25933,4586,12172,9325,155,-934,629
2026-05-29,46.96840307429451,46.96840307429451,0.0,-126.95725772323362,-343.992248062015,-294.2395358474925,99.56709956709942,185.68994889267555,73.1182795698926,21974.0,21974.0,,False,-90.07773261554775,-13.444250241523292,-167.28227812425888,20718,-25933,4586,12172,9325,155,-934,629,45863,-39974,-5532,26429,17962,675,797,-357
2026-06-01,-121.33891213389147,-4.184100418409553,-117.20385098367481,225.01081782777987,529.8798036228214,310.6125970664375,-58.89777029869592,-74.99601085048657,-37.51563151313086,9884.0,-9884.0,23793.0,False,79.85816796726169,42.799529746905264,85.60177923865763,45863,-39974,-5532,26429,17962,675,797,-357,-19043,16614,1333,-21852,4607,-1408,-390,1096
2026-06-02,-101.52284263959422,-42.30118443316444,-59.47323704333041,-50.59021922428353,-183.19138679093737,-162.29712858926382,89.78195810175337,152.9001163370447,72.43289305496336,14385.0,14385.0,22883.5,False,-82.01094834237031,-26.663799866462057,-111.70690936498029,-19043,16614,1333,-21852,4607,-1408,-390,1096,34412,-15096,-16641,25782,8672,-512,470,-2675
2026-06-04,-121.05490704712452,-8.646779074794608,-112.50540891388994,70.11393514460894,134.28671084757536,74.04181184669012,61.29597197898518,128.98727557957068,0.0,10919.0,0.0,21974.0,False,-5.941159441642526,6.39533162160032,3.9278767020811785,34412,-15096,-16641,25782,8672,-512,470,-2675,-876,9205,-5825,-29957,29479,-156,-242,-2504
2026-06-05,-430.15949734171113,-38.666022232962675,-393.01310043668104,-249.64672633066453,-2028.9106866288075,-509.1743119266057,-48.07692307692291,-121.56110044785673,38.81610868510465,30914.0,30914.0,18179.5,True,-1529.6172339674786,-25.40725429401091,-259.52758559594116,-876,9205,-5825,-29957,29479,-156,-242,-2504,89922,-83054,-3626,114199,-24750,-124,597,-3242
2026-06-08,-100.42283298097199,-147.99154334038002,48.283261802575254,-768.1159420289852,-1534.9740932642485,193.96551724137902,-36.496350364964016,-103.48308934881368,0.0,38673.0,0.0,21974.0,True,1.2577907937218242,-30.490388618885646,962.0814592703641,89922,-83054,-3626,114199,-24750,-124,597,-3242,20053,-10960,-9567,34596,-14032,-321,-190,474
2026-06-09,-26.954177897574596,-71.87780772686448,45.24886877828038,778.5888077858872,3142.055598061719,901.0773751224299,-9.021199819575498,0.0,-84.63251670378646,26598.0,-26598.0,22883.5,True,1584.8779824899448,18.042399639150997,122.4885673365427,20053,-10960,-9567,34596,-14032,-321,-190,474,-40975,50003,-8273,-115361,75345,-43,-916,-755
2026-06-10,112.52446183952935,44.03131115459979,68.19288845591798,-371.41513869299536,-840.5308615967976,-294.39696106362766,0.0,-11.486331265794236,83.86778490379942,17864.0,17864.0,23793.0,False,-97.70058421080694,-11.486331265794236,77.0181776293677,-40975,50003,-8273,-115361,75345,-43,-916,-755,55907,-64692,8833,51350,3597,-876,1836,-48
