symbol,qty,abs_qty
A000210,5644.225275683,5644.225275683
A030000,-4208.496895810447,4208.496895810447
A015760,-3728.646337561441,3728.646337561441
A011790,3445.026133188622,3445.026133188622
A003550,1582.567954011774,1582.567954011774
A047050,1324.8617413730442,1324.8617413730442
A066970,1046.8609743120796,1046.8609743120796
A004370,-898.7579758896543,898.7579758896543
A006400,440.88207017475196,440.88207017475196
A032830,-155.6490647940538,155.6490647940538
A042700,104.58591930874354,104.58591930874354
A064400,-5.148020845073006,5.148020845073006
A114090,-0.0001965266870475879,0.0001965266870475879
A071320,-5.582435349645032e-05,5.582435349645032e-05
A021240,-3.294886998622855e-05,3.294886998622855e-05
A005300,-1.9133879499145558e-05,1.9133879499145558e-05
A259960,-5.947248906024985e-06,5.947248906024985e-06
A079550,-2.022608826548274e-06,2.022608826548274e-06
A329180,-7.997441796926447e-07,7.997441796926447e-07
A042660,-8.908656923456757e-08,8.908656923456757e-08
A064350,-2.182008559661603e-10,2.182008559661603e-10
