date,mfbt_emp008_70bp_36m_sum_abs_active_weight,mfbt_emp008_70bp_36m_active_share,mfbt_emp008_70bp_36m_sum_abs_active_weight_pct,mfbt_emp008_70bp_36m_active_share_pct,origin_emp008_sum_abs_active_weight,origin_emp008_active_share,origin_emp008_sum_abs_active_weight_pct,origin_emp008_active_share_pct
2022-12-29,0.16013647816798882,0.08006823908399441,16.01364781679888,8.00682390839944,0.16876368021961743,0.08438184010980872,16.876368021961742,8.438184010980871
2023-01-31,0.1682240465301676,0.0841120232650838,16.822404653016758,8.411202326508379,0.1677364055026139,0.08386820275130695,16.77364055026139,8.386820275130695
2023-02-28,0.19447202949687134,0.09723601474843567,19.447202949687135,9.723601474843568,0.1713746954409801,0.08568734772049005,17.13746954409801,8.568734772049005
2023-03-31,0.17346481990541177,0.08673240995270588,17.346481990541175,8.673240995270588,0.17628836537073023,0.08814418268536511,17.628836537073024,8.814418268536512
2023-04-28,0.1980959498695297,0.09904797493476485,19.80959498695297,9.904797493476485,0.17219141592903428,0.08609570796451714,17.219141592903426,8.609570796451713
2023-05-31,0.16420873566346794,0.08210436783173397,16.420873566346796,8.210436783173398,0.1744256629312446,0.0872128314656223,17.442566293124457,8.721283146562229
2023-06-30,0.1803886672654126,0.0901943336327063,18.03886672654126,9.01943336327063,0.1596509642914536,0.0798254821457268,15.965096429145358,7.982548214572679
2023-07-31,0.2008964160857807,0.10044820804289036,20.08964160857807,10.044820804289035,0.15417382096256285,0.07708691048128143,15.417382096256285,7.708691048128142
2023-08-31,0.17707188710230473,0.08853594355115237,17.707188710230472,8.853594355115236,0.1705536885046738,0.0852768442523369,17.05536885046738,8.52768442523369
2023-09-27,0.1273562788895524,0.0636781394447762,12.73562788895524,6.36781394447762,0.16143931913491494,0.08071965956745747,16.143931913491492,8.071965956745746
2023-10-31,0.2152270346720919,0.10761351733604595,21.52270346720919,10.761351733604595,0.1726438899283801,0.08632194496419004,17.264388992838008,8.632194496419004
2023-11-30,0.18659826400722623,0.09329913200361312,18.659826400722622,9.329913200361311,0.1738891616102538,0.0869445808051269,17.38891616102538,8.69445808051269
2023-12-28,0.1665156799359601,0.08325783996798004,16.651567993596007,8.325783996798004,0.19309154493602687,0.09654577246801344,19.309154493602687,9.654577246801344
2024-01-31,0.18716388667349462,0.09358194333674731,18.716388667349463,9.358194333674732,0.16130865196064045,0.08065432598032023,16.130865196064047,8.065432598032023
2024-02-29,0.19016915589171066,0.09508457794585533,19.016915589171067,9.508457794585533,0.17781953323629648,0.08890976661814824,17.781953323629647,8.890976661814824
2024-03-29,0.15085059844087736,0.07542529922043868,15.085059844087736,7.542529922043868,0.17483886663096534,0.08741943331548267,17.483886663096534,8.741943331548267
2024-04-30,0.20307240394464396,0.10153620197232198,20.307240394464397,10.153620197232199,0.17699782365989403,0.08849891182994701,17.699782365989403,8.849891182994702
2024-05-31,0.1524671049637097,0.07623355248185484,15.24671049637097,7.623355248185485,0.1752373052740717,0.08761865263703585,17.52373052740717,8.761865263703585
2024-06-28,0.15171264468615897,0.07585632234307949,15.171264468615897,7.5856322343079485,0.15963704317675997,0.07981852158837999,15.963704317675997,7.981852158837999
2024-07-31,0.21204545142257555,0.10602272571128778,21.204545142257555,10.602272571128777,0.149366439438089,0.0746832197190445,14.9366439438089,7.46832197190445
2024-08-30,0.1226275532006248,0.0613137766003124,12.26275532006248,6.13137766003124,0.20866479743987354,0.10433239871993677,20.866479743987355,10.433239871993678
2024-09-30,0.11313960908141722,0.05656980454070861,11.313960908141722,5.656980454070861,0.15849686563490598,0.07924843281745299,15.849686563490598,7.924843281745299
2024-10-31,0.12168416207281711,0.060842081036408556,12.16841620728171,6.084208103640855,0.17305901865820067,0.08652950932910033,17.30590186582007,8.652950932910034
2024-11-29,0.12028898551665494,0.06014449275832747,12.028898551665494,6.014449275832747,0.167194812175712,0.083597406087856,16.7194812175712,8.3597406087856
2024-12-30,0.15867735926693177,0.07933867963346589,15.867735926693177,7.9338679633465885,0.16381239779847404,0.08190619889923702,16.381239779847405,8.190619889923703
2025-01-31,0.1565092613408639,0.07825463067043195,15.65092613408639,7.825463067043195,0.14417119304426865,0.07208559652213432,14.417119304426866,7.208559652213433
2025-02-28,0.1466399253270298,0.0733199626635149,14.663992532702979,7.3319962663514895,0.1469231505527308,0.0734615752763654,14.692315055273081,7.3461575276365405
2025-03-31,0.14155869751669586,0.07077934875834793,14.155869751669586,7.077934875834793,0.1307846798492131,0.06539233992460655,13.07846798492131,6.539233992460655
2025-04-30,0.15081451353279643,0.07540725676639821,15.081451353279643,7.540725676639822,0.13894636473737199,0.06947318236868599,13.894636473737199,6.9473182368685995
2025-05-30,0.14703865697487328,0.07351932848743664,14.703865697487329,7.351932848743664,0.1371015125319768,0.0685507562659884,13.710151253197681,6.855075626598841
2025-06-30,0.13714783812582007,0.06857391906291004,13.714783812582008,6.857391906291004,0.12915144196697,0.064575720983485,12.915144196697002,6.457572098348501
2025-07-31,0.11737636349063703,0.058688181745318514,11.737636349063703,5.868818174531851,0.1325264705797029,0.06626323528985145,13.25264705797029,6.626323528985145
2025-08-29,0.12392693032341814,0.06196346516170907,12.392693032341814,6.196346516170907,0.1292588651921572,0.0646294325960786,12.925886519215721,6.462943259607861
2025-09-30,0.15021763873750657,0.07510881936875329,15.021763873750658,7.510881936875329,0.1275853607149325,0.06379268035746626,12.758536071493252,6.379268035746626
2025-10-31,0.15276771014568127,0.07638385507284064,15.276771014568128,7.638385507284064,0.12650404875291058,0.06325202437645529,12.650404875291057,6.325202437645529
2025-11-28,0.1368329843087769,0.06841649215438846,13.683298430877691,6.841649215438846,0.13879662499945383,0.06939831249972692,13.879662499945383,6.939831249972691
2025-12-30,0.11012379162459394,0.05506189581229697,11.012379162459395,5.506189581229697,0.15015999296078844,0.07507999648039422,15.015999296078844,7.507999648039422
2026-01-30,0.12433343782139615,0.062166718910698075,12.433343782139614,6.216671891069807,0.14781810421114291,0.07390905210557146,14.781810421114292,7.390905210557146
2026-02-27,0.1094692210928291,0.05473461054641455,10.94692210928291,5.473461054641455,0.11793767491386253,0.05896883745693127,11.793767491386253,5.896883745693127
2026-03-31,0.11776414032098295,0.058882070160491476,11.776414032098295,5.888207016049147,0.13928395896337867,0.06964197948168933,13.928395896337866,6.964197948168933
2026-04-30,0.10176851770514395,0.05088425885257197,10.176851770514395,5.088425885257197,0.12331139205938595,0.06165569602969297,12.331139205938594,6.165569602969297
2026-05-28,2.1828878210118763e-06,1.0914439105059382e-06,0.00021828878210118763,0.00010914439105059381,,,,
